clause_id,leader_model
1,meta-llama/Llama-3.1-8B
2,checkpoints/community-alignment/llama3.1-8b-hard-en
3,checkpoints/community-alignment/llama3.1-8b-hard-en
4,checkpoints/community-alignment/llama3.1-8b-full-us
5,checkpoints/community-alignment/llama3.1-8b-hard-en
6,checkpoints/community-alignment/llama3.1-8b-full-us
7,meta-llama/Llama-3.1-8B
8,checkpoints/community-alignment/llama3.1-8b-hard-en
9,checkpoints/community-alignment/llama3.1-8b-hard-en
10,checkpoints/community-alignment/llama3.1-8b-soft-en
11,checkpoints/community-alignment/llama3.1-8b-hard-en
12,checkpoints/community-alignment/llama3.1-8b-hard-en
13,checkpoints/community-alignment/llama3.1-8b-full-us
14,checkpoints/community-alignment/llama3.1-8b-hard-en
15,checkpoints/community-alignment/llama3.1-8b-hard-en
16,checkpoints/community-alignment/llama3.1-8b-full-en-global
17,checkpoints/community-alignment/llama3.1-8b-hard-en
18,meta-llama/Llama-3.1-8B
19,checkpoints/community-alignment/llama3.1-8b-hard-en
20,checkpoints/community-alignment/llama3.1-8b-hard-en
21,checkpoints/community-alignment/llama3.1-8b-full-us
22,meta-llama/Llama-3.1-8B
23,checkpoints/community-alignment/llama3.1-8b-hard-en
24,meta-llama/Llama-3.1-8B
25,meta-llama/Llama-3.1-8B
26,checkpoints/community-alignment/llama3.1-8b-hard-en
27,checkpoints/community-alignment/llama3.1-8b-hard-en
28,checkpoints/community-alignment/llama3.1-8b-hard-en
29,checkpoints/community-alignment/llama3.1-8b-full-en-global
30,meta-llama/Llama-3.1-8B
31,checkpoints/community-alignment/llama3.1-8b-hard-en
32,checkpoints/community-alignment/llama3.1-8b-full-en-global
33,checkpoints/community-alignment/llama3.1-8b-hard-en
34,checkpoints/community-alignment/llama3.1-8b-full-us
35,checkpoints/community-alignment/llama3.1-8b-hard-en
36,checkpoints/community-alignment/llama3.1-8b-hard-en
37,checkpoints/community-alignment/llama3.1-8b-hard-en
38,checkpoints/community-alignment/llama3.1-8b-hard-en
39,checkpoints/community-alignment/llama3.1-8b-hard-en
40,meta-llama/Llama-3.1-8B
41,meta-llama/Llama-3.1-8B
42,checkpoints/community-alignment/llama3.1-8b-hard-en
43,meta-llama/Llama-3.1-8B
44,checkpoints/community-alignment/llama3.1-8b-full-en-global
45,checkpoints/community-alignment/llama3.1-8b-hard-en
46,checkpoints/community-alignment/llama3.1-8b-hard-en
47,meta-llama/Llama-3.1-8B
48,checkpoints/community-alignment/llama3.1-8b-hard-en
49,checkpoints/community-alignment/llama3.1-8b-full-us
50,checkpoints/community-alignment/llama3.1-8b-hard-en
51,checkpoints/community-alignment/llama3.1-8b-full-en-global
52,checkpoints/community-alignment/llama3.1-8b-hard-en
53,checkpoints/community-alignment/llama3.1-8b-full-en-global
54,meta-llama/Llama-3.1-8B
55,checkpoints/community-alignment/llama3.1-8b-hard-en
56,checkpoints/community-alignment/llama3.1-8b-hard-en
57,checkpoints/community-alignment/llama3.1-8b-hard-en
58,meta-llama/Llama-3.1-8B
59,meta-llama/Llama-3.1-8B
60,meta-llama/Llama-3.1-8B
61,checkpoints/community-alignment/llama3.1-8b-hard-en
62,checkpoints/community-alignment/llama3.1-8b-hard-en
63,checkpoints/community-alignment/llama3.1-8b-hard-en
64,meta-llama/Llama-3.1-8B
65,meta-llama/Llama-3.1-8B
66,meta-llama/Llama-3.1-8B
67,checkpoints/community-alignment/llama3.1-8b-full-us
68,meta-llama/Llama-3.1-8B
69,meta-llama/Llama-3.1-8B
70,checkpoints/community-alignment/llama3.1-8b-hard-en
71,checkpoints/community-alignment/llama3.1-8b-full-en-global
72,checkpoints/community-alignment/llama3.1-8b-hard-en
73,meta-llama/Llama-3.1-8B
74,checkpoints/community-alignment/llama3.1-8b-soft-en
75,checkpoints/community-alignment/llama3.1-8b-full-en-global
