clause_id,checkpoints/community-alignment/llama3.1-8b-full-global,checkpoints/community-alignment/llama3.1-8b-full-us,checkpoints/community-alignment/llama3.1-8b-hard-en,checkpoints/community-alignment/llama3.1-8b-soft-en,meta-llama/Llama-3.1-8B
1,0.2495,0.1395,0.1095,0.194,0.3075
2,0.1855,0.2015,0.231,0.216,0.166
3,0.1775,0.2215,0.258,0.2475,0.0955
4,0.228,0.231,0.2205,0.165,0.1555
5,0.1945,0.256,0.324,0.1545,0.071
6,0.203,0.207,0.202,0.2195,0.1685
7,0.233,0.165,0.0955,0.2045,0.302
8,0.193,0.2265,0.224,0.2115,0.145
9,0.219,0.1995,0.229,0.1625,0.19
10,0.2355,0.1915,0.1675,0.2225,0.183
11,0.1335,0.2025,0.278,0.172,0.214
12,0.206,0.233,0.2785,0.2445,0.038
13,0.18,0.2195,0.1725,0.2265,0.2015
14,0.1625,0.2395,0.3285,0.1705,0.099
15,0.138,0.2555,0.328,0.1785,0.1
16,0.19,0.2345,0.267,0.2115,0.097
17,0.245,0.2415,0.268,0.207,0.0385
18,0.2155,0.169,0.193,0.1965,0.226
19,0.16,0.26,0.3,0.138,0.142
20,0.1615,0.243,0.2795,0.149,0.167
21,0.2425,0.2495,0.2475,0.193,0.0675
22,0.232,0.164,0.132,0.177,0.295
23,0.2055,0.253,0.291,0.1995,0.051
24,0.2505,0.1405,0.0885,0.2035,0.317
25,0.203,0.1805,0.1195,0.2315,0.2655
26,0.2505,0.2285,0.2825,0.1675,0.071
27,0.2065,0.201,0.27,0.185,0.1375
28,0.2265,0.2305,0.3415,0.128,0.0735
29,0.1925,0.217,0.205,0.1835,0.202
30,0.203,0.189,0.1715,0.152,0.2845
31,0.166,0.2325,0.2805,0.182,0.139
32,0.2475,0.2165,0.1595,0.1865,0.19
33,0.189,0.238,0.277,0.1645,0.1315
34,0.201,0.288,0.274,0.156,0.081
35,0.165,0.2275,0.2835,0.2,0.124
36,0.1885,0.215,0.2775,0.18,0.139
37,0.2085,0.1875,0.302,0.1635,0.1385
38,0.115,0.209,0.277,0.22,0.179
39,0.2275,0.2485,0.2485,0.196,0.0795
40,0.237,0.15,0.1635,0.1905,0.259
41,0.219,0.148,0.177,0.161,0.295
42,0.205,0.263,0.2885,0.187,0.0565
43,0.2125,0.2005,0.171,0.1735,0.2425
44,0.1995,0.239,0.2215,0.217,0.123
45,0.175,0.233,0.3355,0.1795,0.077
46,0.204,0.254,0.2965,0.1745,0.071
47,0.1805,0.172,0.1485,0.2265,0.2725
48,0.2105,0.235,0.33,0.1645,0.06
49,0.2055,0.2305,0.2275,0.175,0.1615
50,0.2065,0.197,0.25,0.1495,0.197
51,0.239,0.1905,0.118,0.2015,0.251
52,0.1655,0.239,0.2925,0.1795,0.1235
53,0.2365,0.1845,0.191,0.197,0.191
54,0.201,0.2275,0.203,0.165,0.2035
55,0.211,0.204,0.242,0.161,0.182
56,0.181,0.2305,0.262,0.2215,0.105
57,0.209,0.198,0.227,0.1775,0.1885
58,0.2125,0.177,0.1275,0.204,0.279
59,0.2465,0.1755,0.0785,0.207,0.2925
60,0.272,0.1425,0.112,0.1985,0.275
61,0.1575,0.2265,0.316,0.21,0.09
62,0.199,0.2565,0.275,0.2315,0.038
63,0.1705,0.198,0.2635,0.2535,0.1145
64,0.2395,0.16,0.1315,0.189,0.28
65,0.201,0.1835,0.1795,0.196,0.24
66,0.2295,0.1775,0.1535,0.1945,0.245
67,0.1885,0.2645,0.279,0.1615,0.1065
68,0.2115,0.151,0.1695,0.201,0.267
69,0.28,0.1535,0.1005,0.182,0.284
70,0.152,0.252,0.315,0.1955,0.0855
71,0.213,0.1845,0.2325,0.1775,0.1925
72,0.1425,0.228,0.275,0.225,0.1295
73,0.2315,0.134,0.212,0.18,0.2425
74,0.219,0.203,0.165,0.2175,0.1955
75,0.194,0.18,0.233,0.211,0.182
