clause_id,checkpoints/community-alignment/llama3.1-8b-full-en-global,checkpoints/community-alignment/llama3.1-8b-full-us,checkpoints/community-alignment/llama3.1-8b-hard-en,checkpoints/community-alignment/llama3.1-8b-soft-en,meta-llama/Llama-3.1-8B
1,0.213,0.1615,0.116,0.195,0.3145
2,0.1855,0.194,0.237,0.2105,0.173
3,0.158,0.231,0.255,0.251,0.105
4,0.2035,0.2455,0.226,0.178,0.147
5,0.208,0.251,0.324,0.1485,0.0685
6,0.169,0.224,0.2095,0.221,0.1765
7,0.2185,0.166,0.104,0.2105,0.301
8,0.219,0.207,0.225,0.2135,0.1355
9,0.2195,0.2045,0.235,0.16,0.181
10,0.205,0.1955,0.174,0.235,0.1905
11,0.169,0.202,0.259,0.1705,0.1995
12,0.2145,0.2295,0.287,0.241,0.028
13,0.198,0.2195,0.167,0.216,0.1995
14,0.175,0.2365,0.331,0.166,0.0915
15,0.1615,0.246,0.314,0.175,0.1035
16,0.253,0.2195,0.2385,0.2015,0.0875
17,0.2405,0.2375,0.272,0.2055,0.0445
18,0.171,0.1915,0.2085,0.192,0.237
19,0.199,0.262,0.2915,0.127,0.1205
20,0.168,0.2415,0.271,0.1525,0.167
21,0.205,0.259,0.254,0.21,0.072
22,0.2385,0.16,0.132,0.1645,0.305
23,0.204,0.2535,0.2955,0.1985,0.0485
24,0.2125,0.148,0.0935,0.213,0.333
25,0.222,0.1715,0.101,0.243,0.2625
26,0.261,0.2235,0.278,0.166,0.0715
27,0.189,0.199,0.2655,0.1945,0.152
28,0.2465,0.231,0.337,0.1115,0.074
29,0.215,0.2015,0.213,0.171,0.1995
30,0.1745,0.19,0.178,0.1545,0.303
31,0.1485,0.23,0.2835,0.1855,0.1525
32,0.237,0.224,0.1565,0.1915,0.191
33,0.1815,0.234,0.29,0.164,0.1305
34,0.204,0.288,0.272,0.1525,0.0835
35,0.203,0.2195,0.268,0.1855,0.124
36,0.2005,0.2075,0.2765,0.176,0.1395
37,0.1695,0.2085,0.312,0.1685,0.1415
38,0.2135,0.189,0.249,0.196,0.1525
39,0.225,0.248,0.2505,0.201,0.0755
40,0.214,0.1515,0.163,0.1955,0.276
41,0.173,0.157,0.1925,0.182,0.2955
42,0.2245,0.2575,0.2815,0.185,0.0515
43,0.1745,0.2005,0.188,0.171,0.266
44,0.239,0.2295,0.2015,0.2065,0.1235
45,0.1465,0.237,0.342,0.1935,0.081
46,0.1755,0.267,0.2985,0.181,0.078
47,0.2305,0.1705,0.134,0.2095,0.2555
48,0.212,0.2365,0.322,0.1685,0.061
49,0.218,0.228,0.2265,0.179,0.1485
50,0.215,0.2025,0.251,0.149,0.1825
51,0.2655,0.178,0.1115,0.189,0.256
52,0.213,0.221,0.2795,0.169,0.1175
53,0.2045,0.198,0.1995,0.1985,0.1995
54,0.2015,0.212,0.2025,0.166,0.218
55,0.237,0.1965,0.2415,0.1625,0.1625
56,0.231,0.2105,0.2505,0.208,0.1
57,0.2175,0.204,0.223,0.176,0.1795
58,0.1805,0.189,0.1395,0.2005,0.2905
59,0.2275,0.1745,0.079,0.2175,0.3015
60,0.2275,0.157,0.119,0.2085,0.288
61,0.179,0.2295,0.302,0.21,0.0795
62,0.2395,0.247,0.254,0.227,0.0325
63,0.199,0.1885,0.2625,0.2355,0.1145
64,0.2405,0.1485,0.1395,0.192,0.2795
65,0.188,0.1895,0.179,0.2005,0.243
66,0.2345,0.1745,0.163,0.191,0.237
67,0.2305,0.2565,0.2545,0.159,0.0995
68,0.2115,0.147,0.173,0.1965,0.272
69,0.243,0.167,0.1005,0.1915,0.298
70,0.19,0.238,0.315,0.1765,0.0805
71,0.233,0.18,0.226,0.165,0.196
72,0.164,0.2425,0.2805,0.196,0.117
73,0.2115,0.135,0.2225,0.187,0.244
74,0.177,0.2115,0.1755,0.2335,0.2025
75,0.2805,0.163,0.206,0.1895,0.161
