clause_id,checkpoints/community-alignment/llama3.1-8b-full-us,checkpoints/community-alignment/llama3.1-8b-hard-us-k350,checkpoints/community-alignment/llama3.1-8b-soft-us-k350,checkpoints/community-alignment/llama3.1-8b-us-balanced-subset,meta-llama/Llama-3.1-8B
1,0.1405,0.164,0.1875,0.196,0.312
2,0.187,0.231,0.202,0.216,0.164
3,0.2775,0.185,0.2225,0.1955,0.1195
4,0.222,0.243,0.197,0.1755,0.1625
5,0.266,0.2465,0.1565,0.246,0.085
6,0.199,0.1985,0.2265,0.1845,0.1915
7,0.1455,0.1415,0.225,0.1835,0.3045
8,0.2465,0.237,0.2065,0.171,0.139
9,0.2135,0.1895,0.228,0.209,0.16
10,0.2025,0.201,0.222,0.19,0.1845
11,0.181,0.1685,0.2835,0.168,0.199
12,0.2935,0.2525,0.1625,0.238,0.0535
13,0.203,0.198,0.267,0.143,0.189
14,0.269,0.268,0.182,0.1805,0.1005
15,0.2755,0.246,0.2115,0.1505,0.1165
16,0.229,0.1915,0.2145,0.264,0.101
17,0.245,0.2305,0.2575,0.2265,0.0405
18,0.1715,0.2235,0.1825,0.201,0.2215
19,0.276,0.217,0.2045,0.173,0.1295
20,0.262,0.1855,0.195,0.152,0.2055
21,0.2695,0.235,0.196,0.2235,0.076
22,0.142,0.154,0.2225,0.198,0.2835
23,0.266,0.246,0.1925,0.241,0.0545
24,0.122,0.128,0.2285,0.211,0.3105
25,0.15,0.1415,0.253,0.2035,0.252
26,0.2645,0.164,0.2315,0.2515,0.0885
27,0.2105,0.206,0.248,0.1645,0.171
28,0.233,0.233,0.2555,0.2235,0.055
29,0.2035,0.2135,0.1615,0.2285,0.193
30,0.1565,0.147,0.161,0.246,0.2895
31,0.249,0.1695,0.241,0.186,0.1545
32,0.2345,0.1755,0.1815,0.1995,0.209
33,0.2445,0.215,0.1935,0.206,0.141
34,0.289,0.183,0.305,0.1445,0.0785
35,0.2375,0.2225,0.1925,0.184,0.1635
36,0.226,0.223,0.1955,0.1925,0.163
37,0.2135,0.187,0.237,0.224,0.1385
38,0.2015,0.226,0.231,0.1875,0.154
39,0.3115,0.1515,0.2635,0.154,0.1195
40,0.144,0.1905,0.2015,0.2115,0.2525
41,0.138,0.171,0.2065,0.196,0.2885
42,0.2875,0.209,0.2455,0.1635,0.0945
43,0.193,0.2105,0.178,0.1725,0.246
44,0.2425,0.21,0.2145,0.217,0.116
45,0.2705,0.2355,0.2115,0.192,0.0905
46,0.281,0.226,0.212,0.182,0.099
47,0.1715,0.1955,0.164,0.1955,0.2735
48,0.2555,0.183,0.3115,0.178,0.072
49,0.2065,0.235,0.2255,0.2035,0.1295
50,0.2035,0.1795,0.2145,0.203,0.1995
51,0.1355,0.193,0.2265,0.22,0.225
52,0.2295,0.2345,0.2095,0.2015,0.125
53,0.1775,0.2315,0.2025,0.1825,0.206
54,0.217,0.205,0.2,0.175,0.203
55,0.2445,0.17,0.241,0.168,0.1765
56,0.2635,0.221,0.227,0.1765,0.112
57,0.1915,0.1735,0.261,0.189,0.185
58,0.1845,0.1735,0.1775,0.1725,0.292
59,0.1695,0.1645,0.209,0.176,0.281
60,0.1255,0.185,0.2485,0.1795,0.2615
61,0.2645,0.2575,0.178,0.196,0.104
62,0.264,0.203,0.259,0.238,0.036
63,0.2185,0.206,0.225,0.1995,0.151
64,0.137,0.172,0.217,0.187,0.287
65,0.1745,0.132,0.247,0.1945,0.252
66,0.176,0.23,0.163,0.1825,0.2485
67,0.2555,0.19,0.2635,0.1785,0.1125
68,0.1435,0.216,0.2135,0.173,0.254
69,0.1275,0.176,0.226,0.2125,0.258
70,0.272,0.252,0.1915,0.1895,0.095
71,0.1995,0.175,0.2175,0.201,0.207
72,0.238,0.208,0.25,0.1905,0.1135
73,0.1455,0.1905,0.23,0.1805,0.2535
74,0.2215,0.195,0.2025,0.1615,0.2195
75,0.1855,0.213,0.2155,0.188,0.198
