clause_id,checkpoints/community-alignment/llama3.1-8b-full-global,checkpoints/community-alignment/llama3.1-8b-full-us,checkpoints/community-alignment/llama3.1-8b-hard-us,checkpoints/community-alignment/llama3.1-8b-soft-us,meta-llama/Llama-3.1-8B
1,0.256,0.1245,0.15,0.177,0.2925
2,0.1905,0.2045,0.219,0.218,0.168
3,0.199,0.255,0.233,0.191,0.122
4,0.2315,0.2255,0.211,0.1595,0.1725
5,0.221,0.2865,0.23,0.171,0.0915
6,0.2205,0.185,0.203,0.2165,0.175
7,0.213,0.1525,0.151,0.1925,0.291
8,0.2035,0.247,0.1755,0.2285,0.1455
9,0.2165,0.2105,0.1965,0.209,0.1675
10,0.2355,0.1885,0.2035,0.2085,0.164
11,0.1375,0.204,0.169,0.2615,0.228
12,0.2545,0.272,0.268,0.151,0.0545
13,0.1875,0.2235,0.1515,0.235,0.2025
14,0.1895,0.261,0.2685,0.1805,0.1005
15,0.1505,0.2815,0.234,0.2125,0.1215
16,0.2035,0.254,0.2025,0.237,0.103
17,0.248,0.244,0.2205,0.238,0.0495
18,0.2165,0.171,0.196,0.189,0.2275
19,0.163,0.2505,0.2445,0.2035,0.1385
20,0.1845,0.252,0.1645,0.1985,0.2005
21,0.2565,0.267,0.204,0.1835,0.089
22,0.218,0.1215,0.183,0.204,0.2735
23,0.2225,0.2695,0.2485,0.197,0.0625
24,0.2245,0.1175,0.1395,0.2185,0.3
25,0.186,0.143,0.176,0.2565,0.2385
26,0.2505,0.2525,0.2095,0.198,0.0895
27,0.2365,0.2145,0.1455,0.2305,0.173
28,0.214,0.2325,0.239,0.257,0.0575
29,0.1935,0.206,0.2025,0.207,0.191
30,0.2045,0.156,0.1855,0.17,0.284
31,0.168,0.239,0.182,0.2795,0.1315
32,0.2245,0.2155,0.2045,0.1705,0.185
33,0.218,0.2465,0.228,0.1605,0.147
34,0.2245,0.298,0.136,0.2505,0.091
35,0.204,0.246,0.1835,0.2255,0.141
36,0.1875,0.2325,0.228,0.2065,0.1455
37,0.2175,0.182,0.2275,0.2375,0.1355
38,0.1355,0.2115,0.231,0.243,0.179
39,0.2405,0.269,0.172,0.2335,0.085
40,0.2195,0.1485,0.1515,0.219,0.2615
41,0.2225,0.1345,0.18,0.1785,0.2845
42,0.202,0.25,0.2145,0.2585,0.075
43,0.207,0.1795,0.196,0.18,0.2375
44,0.203,0.25,0.1995,0.232,0.1155
45,0.2,0.28,0.232,0.19,0.098
46,0.236,0.287,0.187,0.1995,0.0905
47,0.1815,0.174,0.2045,0.1585,0.2815
48,0.2305,0.2505,0.152,0.288,0.079
49,0.193,0.22,0.19,0.235,0.162
50,0.22,0.21,0.179,0.206,0.185
51,0.199,0.138,0.19,0.239,0.234
52,0.169,0.2445,0.266,0.1925,0.128
53,0.237,0.1745,0.205,0.1835,0.2
54,0.1975,0.2,0.1755,0.226,0.201
55,0.223,0.207,0.1535,0.2385,0.178
56,0.195,0.249,0.2015,0.226,0.1285
57,0.198,0.184,0.1965,0.2315,0.19
58,0.2055,0.1595,0.181,0.1815,0.2725
59,0.2435,0.162,0.1465,0.174,0.274
60,0.262,0.1155,0.16,0.2105,0.252
61,0.184,0.2635,0.2485,0.201,0.103
62,0.199,0.2835,0.2065,0.2685,0.0425
63,0.202,0.236,0.2065,0.217,0.1385
64,0.215,0.1345,0.174,0.21,0.2665
65,0.2175,0.176,0.1675,0.201,0.238
66,0.2205,0.178,0.2295,0.133,0.239
67,0.1995,0.2635,0.18,0.2525,0.1045
68,0.2045,0.157,0.183,0.193,0.2625
69,0.263,0.1105,0.1535,0.213,0.26
70,0.182,0.291,0.1995,0.22,0.1075
71,0.228,0.191,0.1525,0.237,0.1915
72,0.16,0.2565,0.2115,0.2395,0.1325
73,0.23,0.1335,0.196,0.192,0.2485
74,0.226,0.2015,0.203,0.171,0.1985
75,0.2045,0.1875,0.199,0.2245,0.1845
