layer,hard_steps,soft_steps,hard_l1_over_l2_mean,soft_l1_over_l2_mean,delta_l1_over_l2_mean,hard_l1_over_l2_median,soft_l1_over_l2_median,hard_l1_over_sqrt_d_l2_mean,soft_l1_over_sqrt_d_l2_mean,delta_l1_over_sqrt_d_l2_mean,hard_l1_over_sqrt_d_l2_median,soft_l1_over_sqrt_d_l2_median
__whole_model__,500,500,33578.74026155106,33971.38325340386,-392.64299185280106,33841.457802855744,34273.77732289946,0.37471369155500955,0.3790952944321381,-0.004381602877128521,0.3776454233284988,0.3824697866615201
lm_head,500,500,1741.0120525818766,1889.1343868857884,-148.12233430391188,1726.517939958221,1894.7279198150777,0.07595965054173226,0.08242216798063533,-0.006462517438903068,0.07532727827976388,0.08266621155630867
model.embed_tokens,500,500,793.850685930857,949.3400690301601,-155.48938309930304,799.3026479768339,965.1653995766114,0.034635383825286026,0.04141932261862022,-0.006783938793334193,0.03487325072067314,0.04210977537926204
model.layers.0,500,500,3763.9638389607558,3827.151185314601,-63.18734635384544,3790.4123666704604,3866.6531876109234,0.25486233774828454,0.25914082593171456,-0.004278488183430018,0.25665319809936504,0.26181555211977453
model.layers.1,500,500,2184.949235727606,2145.2180495248567,39.731186202749086,2180.1222192612277,2132.7174524636434,0.14794543569064064,0.14525519119564018,0.0026902444950004656,0.1476185928319934,0.1444087613343082
model.layers.10,500,500,8196.103175107082,8140.608645545161,55.4945295619209,8228.63755130359,8163.881521224141,0.5549676099467192,0.5512100112710907,0.0037575986756285262,0.5571705501261108,0.5527858445562766
model.layers.11,500,500,8098.801714111029,8050.04862355994,48.75309055108846,8114.928640545666,8054.252621390666,0.5483792156696307,0.5450780876136992,0.0033011280559314127,0.5494711884801242,0.5453627451611329
model.layers.12,500,500,8434.51177235879,8385.712661815418,48.79911054337208,8448.989235236244,8391.4128411348,0.5711105313547091,0.5678062872319616,0.003304244122747546,0.5720908170831265,0.5681922529556183
model.layers.13,500,500,8061.619908944085,8018.380054586148,43.239854357937475,8067.051163085428,8020.622808096057,0.5458615927083098,0.5429337722410966,0.0029278204672131825,0.5462293491976362,0.5430856316709383
model.layers.14,500,500,8646.654067491734,8595.27707060286,51.37699688887369,8656.13492390883,8600.9049390119,0.5854749311167953,0.5819961353329336,0.0034787957838616768,0.5861168908522492,0.5823772048013542
