model,country,mean_js_similarity,mean_total_variation,questions_used
checkpoints/llama3.1-8b-full-prism,Poland (Non-national sample),0.7422023566855189,0.3160322605818279,8
checkpoints/llama3.1-8b-full-prism,Russia (Non-national sample),0.6991611476541396,0.38118764769130564,22
checkpoints/llama3.1-8b-full-prism,India (Old national sample),0.6962870052101539,0.36614472282082633,83
checkpoints/llama3.1-8b-full-prism,Nigeria (Non-national sample),0.678943814906597,0.39998589826718045,219
checkpoints/llama3.1-8b-full-prism,Egypt (Non-national sample),0.6785040545449313,0.3995852404242401,55
checkpoints/llama3.1-8b-full-prism,India (Non-national sample),0.6716754492772223,0.40601525766653057,252
checkpoints/llama3.1-8b-full-prism,China (Non-national sample),0.6708402652017029,0.3971165193920773,226
checkpoints/llama3.1-8b-full-prism,Venezuela (Non-national sample),0.6600533671278774,0.4182129145208308,125
checkpoints/llama3.1-8b-full-prism,Bolivia (Non-national sample),0.6542663860833934,0.42216678392060747,125
checkpoints/llama3.1-8b-full-prism,Brazil (Non-national sample),0.6508227518939331,0.4248114213600886,185
checkpoints/llama3.1-8b-full-prism,Pakistan (Non-national sample),0.6458677521464131,0.4427611936823059,24
checkpoints/llama3.1-8b-full-prism,Angola (Non-national sample),0.6445494164240996,0.4460452852160619,86
checkpoints/llama3.1-8b-full-prism,Czech Rep.,0.6435497479021707,0.4331857540061586,239
checkpoints/llama3.1-8b-full-prism,Ethiopia (Non-national sample),0.6434333798405751,0.426479284334795,75
checkpoints/llama3.1-8b-full-prism,S. Africa (Non-national sample),0.6417963648485641,0.4359025811419354,73
checkpoints/llama3.1-8b-full-prism,Kuwait,0.6373434483911499,0.44821229809423135,95
checkpoints/llama3.1-8b-full-prism,Morocco (Non-national sample),0.6372317561765122,0.4412771511693809,77
checkpoints/llama3.1-8b-full-prism,Palest. ter.,0.6368975693931249,0.4390300882357522,234
checkpoints/llama3.1-8b-full-prism,Britain,0.6352129145215604,0.4421061166916008,647
checkpoints/llama3.1-8b-full-prism,Indonesia (Non-national sample),0.6295626356827482,0.45244236439519997,105
checkpoints/llama3.1-8b-full-prism,Israel,0.6277381616855272,0.45047525173996267,344
checkpoints/llama3.1-8b-full-prism,Guatemala (Non-national sample),0.6263699779016838,0.46627302137278615,87
checkpoints/llama3.1-8b-full-prism,S. Africa,0.626172567211264,0.4618651441645222,330
checkpoints/llama3.1-8b-full-prism,Senegal (Non-national sample),0.6258874531464143,0.46423843430224104,119
checkpoints/llama3.1-8b-full-prism,Ivory Coast (Non-national sample),0.6254375603196187,0.4668817115933662,119
checkpoints/llama3.1-8b-full-prism,India (Current national sample),0.6232644369167992,0.4669013082631272,229
checkpoints/llama3.1-8b-full-prism,Ghana,0.6205145710072529,0.47191730748203037,243
checkpoints/llama3.1-8b-full-prism,Uzbekistan,0.6176167583277344,0.4759377307860677,89
checkpoints/llama3.1-8b-full-prism,Bangladesh (Non-national sample),0.6168051729864245,0.47647692646766837,124
checkpoints/llama3.1-8b-full-prism,Russia,0.6137747261147884,0.46940152529490903,712
checkpoints/llama3.1-8b-full-prism,Tanzania,0.611691569632269,0.4808741822777505,245
checkpoints/llama3.1-8b-full-prism,Mali,0.6082252724573927,0.48548570786219825,75
checkpoints/llama3.1-8b-full-prism,Honduras (Non-national sample),0.6080201537292318,0.491469056989358,87
checkpoints/llama3.1-8b-full-prism,Poland,0.6076368594911562,0.47659074956338904,578
checkpoints/llama3.1-8b-full-prism,Mali (Non-national sample),0.6071058935623311,0.48821120717551897,87
checkpoints/llama3.1-8b-full-prism,Uganda,0.6033670452555194,0.4887918826117505,215
checkpoints/llama3.1-8b-full-prism,Jordan,0.5992772249678749,0.47801330931912445,597
checkpoints/llama3.1-8b-full-prism,Turkey,0.5982440668229153,0.4924806307674576,662
checkpoints/llama3.1-8b-full-prism,France,0.5942020271476889,0.4842027775630417,758
checkpoints/llama3.1-8b-full-prism,UK,0.5934300015768236,0.4903120728147722,846
checkpoints/llama3.1-8b-full-prism,USA,0.5926098557757576,0.49180308437494424,846
checkpoints/llama3.1-8b-full-prism,United States,0.5926098557757576,0.49180308437494424,846
checkpoints/llama3.1-8b-full-prism,Senegal,0.5909786569980772,0.5017186527246206,155
