clause_id,model,win_share
1,checkpoints/llama3.1-8b-hard-panel,0.4166666666666667
1,checkpoints/llama3.1-8b-hard-panel-control-k100,0.29
1,checkpoints/llama3.1-8b-hard-panel-control-k50,0.29333333333333333
2,checkpoints/llama3.1-8b-hard-panel,0.365
2,checkpoints/llama3.1-8b-hard-panel-control-k100,0.335
2,checkpoints/llama3.1-8b-hard-panel-control-k50,0.3
3,checkpoints/llama3.1-8b-hard-panel,0.365
3,checkpoints/llama3.1-8b-hard-panel-control-k100,0.355
3,checkpoints/llama3.1-8b-hard-panel-control-k50,0.28
4,checkpoints/llama3.1-8b-hard-panel,0.36
4,checkpoints/llama3.1-8b-hard-panel-control-k100,0.31
4,checkpoints/llama3.1-8b-hard-panel-control-k50,0.33
5,checkpoints/llama3.1-8b-hard-panel,0.3233333333333333
5,checkpoints/llama3.1-8b-hard-panel-control-k100,0.4
5,checkpoints/llama3.1-8b-hard-panel-control-k50,0.27666666666666667
6,checkpoints/llama3.1-8b-hard-panel,0.33
6,checkpoints/llama3.1-8b-hard-panel-control-k100,0.40166666666666667
6,checkpoints/llama3.1-8b-hard-panel-control-k50,0.2683333333333333
7,checkpoints/llama3.1-8b-hard-panel,0.3416666666666667
7,checkpoints/llama3.1-8b-hard-panel-control-k100,0.23166666666666666
7,checkpoints/llama3.1-8b-hard-panel-control-k50,0.4266666666666667
8,checkpoints/llama3.1-8b-hard-panel,0.3566666666666667
8,checkpoints/llama3.1-8b-hard-panel-control-k100,0.345
8,checkpoints/llama3.1-8b-hard-panel-control-k50,0.29833333333333334
9,checkpoints/llama3.1-8b-hard-panel,0.42
9,checkpoints/llama3.1-8b-hard-panel-control-k100,0.3466666666666667
9,checkpoints/llama3.1-8b-hard-panel-control-k50,0.23333333333333334
10,checkpoints/llama3.1-8b-hard-panel,0.3933333333333333
10,checkpoints/llama3.1-8b-hard-panel-control-k100,0.26666666666666666
10,checkpoints/llama3.1-8b-hard-panel-control-k50,0.34
11,checkpoints/llama3.1-8b-hard-panel,0.44
11,checkpoints/llama3.1-8b-hard-panel-control-k100,0.3566666666666667
11,checkpoints/llama3.1-8b-hard-panel-control-k50,0.20333333333333334
12,checkpoints/llama3.1-8b-hard-panel,0.36333333333333334
12,checkpoints/llama3.1-8b-hard-panel-control-k100,0.38333333333333336
12,checkpoints/llama3.1-8b-hard-panel-control-k50,0.25333333333333335
13,checkpoints/llama3.1-8b-hard-panel,0.40166666666666667
13,checkpoints/llama3.1-8b-hard-panel-control-k100,0.23666666666666666
13,checkpoints/llama3.1-8b-hard-panel-control-k50,0.3616666666666667
14,checkpoints/llama3.1-8b-hard-panel,0.2783333333333333
14,checkpoints/llama3.1-8b-hard-panel-control-k100,0.36333333333333334
14,checkpoints/llama3.1-8b-hard-panel-control-k50,0.35833333333333334
15,checkpoints/llama3.1-8b-hard-panel,0.4083333333333333
15,checkpoints/llama3.1-8b-hard-panel-control-k100,0.315
15,checkpoints/llama3.1-8b-hard-panel-control-k50,0.27666666666666667
16,checkpoints/llama3.1-8b-hard-panel,0.37166666666666665
16,checkpoints/llama3.1-8b-hard-panel-control-k100,0.295
16,checkpoints/llama3.1-8b-hard-panel-control-k50,0.3333333333333333
17,checkpoints/llama3.1-8b-hard-panel,0.4033333333333333
17,checkpoints/llama3.1-8b-hard-panel-control-k100,0.24666666666666667
17,checkpoints/llama3.1-8b-hard-panel-control-k50,0.35
18,checkpoints/llama3.1-8b-hard-panel,0.35
18,checkpoints/llama3.1-8b-hard-panel-control-k100,0.28
18,checkpoints/llama3.1-8b-hard-panel-control-k50,0.37
19,checkpoints/llama3.1-8b-hard-panel,0.42333333333333334
19,checkpoints/llama3.1-8b-hard-panel-control-k100,0.3566666666666667
19,checkpoints/llama3.1-8b-hard-panel-control-k50,0.22
20,checkpoints/llama3.1-8b-hard-panel,0.44166666666666665
20,checkpoints/llama3.1-8b-hard-panel-control-k100,0.27166666666666667
20,checkpoints/llama3.1-8b-hard-panel-control-k50,0.2866666666666667
21,checkpoints/llama3.1-8b-hard-panel,0.435
21,checkpoints/llama3.1-8b-hard-panel-control-k100,0.33666666666666667
21,checkpoints/llama3.1-8b-hard-panel-control-k50,0.22833333333333333
22,checkpoints/llama3.1-8b-hard-panel,0.4116666666666667
22,checkpoints/llama3.1-8b-hard-panel-control-k100,0.255
22,checkpoints/llama3.1-8b-hard-panel-control-k50,0.3333333333333333
23,checkpoints/llama3.1-8b-hard-panel,0.385
23,checkpoints/llama3.1-8b-hard-panel-control-k100,0.34
