clause_id,checkpoints/llama3.1-8b-hard-panel,checkpoints/llama3.1-8b-hard-panel-control-k100,checkpoints/llama3.1-8b-hard-panel-control-k50
1,0.4166666666666667,0.29,0.29333333333333333
2,0.365,0.335,0.3
3,0.365,0.355,0.28
4,0.36,0.31,0.33
5,0.3233333333333333,0.4,0.27666666666666667
6,0.33,0.40166666666666667,0.2683333333333333
7,0.3416666666666667,0.23166666666666666,0.4266666666666667
8,0.3566666666666667,0.345,0.29833333333333334
9,0.42,0.3466666666666667,0.23333333333333334
10,0.3933333333333333,0.26666666666666666,0.34
11,0.44,0.3566666666666667,0.20333333333333334
12,0.36333333333333334,0.38333333333333336,0.25333333333333335
13,0.40166666666666667,0.23666666666666666,0.3616666666666667
14,0.2783333333333333,0.36333333333333334,0.35833333333333334
15,0.4083333333333333,0.315,0.27666666666666667
16,0.37166666666666665,0.295,0.3333333333333333
17,0.4033333333333333,0.24666666666666667,0.35
18,0.35,0.28,0.37
19,0.42333333333333334,0.3566666666666667,0.22
20,0.44166666666666665,0.27166666666666667,0.2866666666666667
21,0.435,0.33666666666666667,0.22833333333333333
22,0.4116666666666667,0.255,0.3333333333333333
23,0.385,0.34,0.275
24,0.38666666666666666,0.26166666666666666,0.3516666666666667
25,0.3516666666666667,0.31,0.3383333333333333
26,0.325,0.41333333333333333,0.26166666666666666
27,0.34833333333333333,0.35833333333333334,0.29333333333333333
28,0.49166666666666664,0.24166666666666667,0.26666666666666666
29,0.4066666666666667,0.3333333333333333,0.26
30,0.32,0.4033333333333333,0.27666666666666667
31,0.345,0.28,0.375
32,0.435,0.24666666666666667,0.31833333333333336
33,0.4083333333333333,0.305,0.2866666666666667
34,0.37333333333333335,0.3983333333333333,0.22833333333333333
35,0.38166666666666665,0.3416666666666667,0.27666666666666667
36,0.345,0.37166666666666665,0.2833333333333333
37,0.2733333333333333,0.37333333333333335,0.35333333333333333
38,0.35,0.3283333333333333,0.32166666666666666
39,0.42,0.3883333333333333,0.19166666666666668
40,0.38,0.33166666666666667,0.28833333333333333
41,0.365,0.36,0.275
42,0.405,0.36,0.235
43,0.4166666666666667,0.25666666666666665,0.32666666666666666
44,0.41833333333333333,0.305,0.27666666666666667
45,0.295,0.36666666666666664,0.3383333333333333
46,0.37166666666666665,0.39166666666666666,0.23666666666666666
47,0.41333333333333333,0.27,0.31666666666666665
48,0.4216666666666667,0.2816666666666667,0.2966666666666667
49,0.335,0.36333333333333334,0.3016666666666667
50,0.4766666666666667,0.21166666666666667,0.31166666666666665
51,0.3016666666666667,0.31666666666666665,0.38166666666666665
52,0.38166666666666665,0.30333333333333334,0.315
53,0.42833333333333334,0.2866666666666667,0.285
54,0.38,0.3566666666666667,0.2633333333333333
55,0.43833333333333335,0.3333333333333333,0.22833333333333333
56,0.35833333333333334,0.365,0.27666666666666667
57,0.385,0.31666666666666665,0.29833333333333334
58,0.4266666666666667,0.28833333333333333,0.285
59,0.3516666666666667,0.27,0.37833333333333335
60,0.4066666666666667,0.2833333333333333,0.31
61,0.265,0.38,0.355
62,0.3516666666666667,0.295,0.35333333333333333
63,0.40166666666666667,0.30833333333333335,0.29
64,0.36,0.34,0.3
65,0.43833333333333335,0.28,0.2816666666666667
66,0.41833333333333333,0.295,0.2866666666666667
67,0.41,0.33166666666666667,0.25833333333333336
68,0.29833333333333334,0.32666666666666666,0.375
69,0.33166666666666667,0.30833333333333335,0.36
70,0.45,0.2916666666666667,0.25833333333333336
71,0.35,0.30333333333333334,0.3466666666666667
72,0.2866666666666667,0.36,0.35333333333333333
73,0.31333333333333335,0.44,0.24666666666666667
74,0.4083333333333333,0.21666666666666667,0.375
75,0.4066666666666667,0.2866666666666667,0.30666666666666664
