clause_id,leader_model
1,checkpoints/llama3.1-8b-soft-panel-control-k100
2,checkpoints/llama3.1-8b-soft-panel
3,checkpoints/llama3.1-8b-soft-panel-control-k50
4,checkpoints/llama3.1-8b-soft-panel-control-k100
5,checkpoints/llama3.1-8b-soft-panel-control-k100
6,checkpoints/llama3.1-8b-soft-panel-control-k100
7,checkpoints/llama3.1-8b-soft-panel-control-k100
8,checkpoints/llama3.1-8b-soft-panel-control-k50
9,checkpoints/llama3.1-8b-soft-panel-control-k100
10,checkpoints/llama3.1-8b-soft-panel-control-k50
11,checkpoints/llama3.1-8b-soft-panel-control-k50
12,checkpoints/llama3.1-8b-soft-panel-control-k50
13,checkpoints/llama3.1-8b-soft-panel-control-k100
14,checkpoints/llama3.1-8b-soft-panel-control-k50
15,checkpoints/llama3.1-8b-soft-panel-control-k100
16,checkpoints/llama3.1-8b-soft-panel-control-k50
17,checkpoints/llama3.1-8b-soft-panel
18,checkpoints/llama3.1-8b-soft-panel-control-k100
19,checkpoints/llama3.1-8b-soft-panel-control-k50
20,checkpoints/llama3.1-8b-soft-panel-control-k100
21,checkpoints/llama3.1-8b-soft-panel-control-k50
22,checkpoints/llama3.1-8b-soft-panel
23,checkpoints/llama3.1-8b-soft-panel-control-k50
24,checkpoints/llama3.1-8b-soft-panel
25,checkpoints/llama3.1-8b-soft-panel
26,checkpoints/llama3.1-8b-soft-panel-control-k50
27,checkpoints/llama3.1-8b-soft-panel-control-k100
28,checkpoints/llama3.1-8b-soft-panel-control-k100
29,checkpoints/llama3.1-8b-soft-panel-control-k50
30,checkpoints/llama3.1-8b-soft-panel
31,checkpoints/llama3.1-8b-soft-panel-control-k50
32,checkpoints/llama3.1-8b-soft-panel-control-k50
33,checkpoints/llama3.1-8b-soft-panel-control-k100
34,checkpoints/llama3.1-8b-soft-panel-control-k50
35,checkpoints/llama3.1-8b-soft-panel-control-k100
36,checkpoints/llama3.1-8b-soft-panel-control-k100
37,checkpoints/llama3.1-8b-soft-panel-control-k50
38,checkpoints/llama3.1-8b-soft-panel
39,checkpoints/llama3.1-8b-soft-panel-control-k100
40,checkpoints/llama3.1-8b-soft-panel-control-k100
41,checkpoints/llama3.1-8b-soft-panel
42,checkpoints/llama3.1-8b-soft-panel-control-k100
43,checkpoints/llama3.1-8b-soft-panel-control-k50
44,checkpoints/llama3.1-8b-soft-panel
45,checkpoints/llama3.1-8b-soft-panel-control-k100
46,checkpoints/llama3.1-8b-soft-panel-control-k100
47,checkpoints/llama3.1-8b-soft-panel
48,checkpoints/llama3.1-8b-soft-panel-control-k100
49,checkpoints/llama3.1-8b-soft-panel
50,checkpoints/llama3.1-8b-soft-panel-control-k50
51,checkpoints/llama3.1-8b-soft-panel
52,checkpoints/llama3.1-8b-soft-panel-control-k50
53,checkpoints/llama3.1-8b-soft-panel-control-k50
54,checkpoints/llama3.1-8b-soft-panel
55,checkpoints/llama3.1-8b-soft-panel-control-k100
56,checkpoints/llama3.1-8b-soft-panel-control-k50
57,checkpoints/llama3.1-8b-soft-panel-control-k100
58,checkpoints/llama3.1-8b-soft-panel-control-k100
59,checkpoints/llama3.1-8b-soft-panel
60,checkpoints/llama3.1-8b-soft-panel-control-k50
61,checkpoints/llama3.1-8b-soft-panel-control-k50
62,checkpoints/llama3.1-8b-soft-panel
63,checkpoints/llama3.1-8b-soft-panel-control-k100
64,checkpoints/llama3.1-8b-soft-panel
65,checkpoints/llama3.1-8b-soft-panel-control-k100
66,checkpoints/llama3.1-8b-soft-panel
67,checkpoints/llama3.1-8b-soft-panel-control-k100
68,checkpoints/llama3.1-8b-soft-panel
69,checkpoints/llama3.1-8b-soft-panel
70,checkpoints/llama3.1-8b-soft-panel-control-k100
71,checkpoints/llama3.1-8b-soft-panel-control-k100
72,checkpoints/llama3.1-8b-soft-panel-control-k100
73,checkpoints/llama3.1-8b-soft-panel
74,checkpoints/llama3.1-8b-soft-panel-control-k50
75,checkpoints/llama3.1-8b-soft-panel-control-k50
