clause_id,model,win_share
1,checkpoints/llama3.1-8b-soft-panel,0.355
1,checkpoints/llama3.1-8b-soft-panel-control-k100,0.3616666666666667
1,checkpoints/llama3.1-8b-soft-panel-control-k50,0.2833333333333333
2,checkpoints/llama3.1-8b-soft-panel,0.35
2,checkpoints/llama3.1-8b-soft-panel-control-k100,0.3383333333333333
2,checkpoints/llama3.1-8b-soft-panel-control-k50,0.31166666666666665
3,checkpoints/llama3.1-8b-soft-panel,0.275
3,checkpoints/llama3.1-8b-soft-panel-control-k100,0.35333333333333333
3,checkpoints/llama3.1-8b-soft-panel-control-k50,0.37166666666666665
4,checkpoints/llama3.1-8b-soft-panel,0.31333333333333335
4,checkpoints/llama3.1-8b-soft-panel-control-k100,0.36
4,checkpoints/llama3.1-8b-soft-panel-control-k50,0.32666666666666666
5,checkpoints/llama3.1-8b-soft-panel,0.2733333333333333
5,checkpoints/llama3.1-8b-soft-panel-control-k100,0.37166666666666665
5,checkpoints/llama3.1-8b-soft-panel-control-k50,0.355
6,checkpoints/llama3.1-8b-soft-panel,0.305
6,checkpoints/llama3.1-8b-soft-panel-control-k100,0.37333333333333335
6,checkpoints/llama3.1-8b-soft-panel-control-k50,0.32166666666666666
7,checkpoints/llama3.1-8b-soft-panel,0.365
7,checkpoints/llama3.1-8b-soft-panel-control-k100,0.4116666666666667
7,checkpoints/llama3.1-8b-soft-panel-control-k50,0.22333333333333333
8,checkpoints/llama3.1-8b-soft-panel,0.3016666666666667
8,checkpoints/llama3.1-8b-soft-panel-control-k100,0.31
8,checkpoints/llama3.1-8b-soft-panel-control-k50,0.3883333333333333
9,checkpoints/llama3.1-8b-soft-panel,0.31166666666666665
9,checkpoints/llama3.1-8b-soft-panel-control-k100,0.4216666666666667
9,checkpoints/llama3.1-8b-soft-panel-control-k50,0.26666666666666666
10,checkpoints/llama3.1-8b-soft-panel,0.34833333333333333
10,checkpoints/llama3.1-8b-soft-panel-control-k100,0.285
10,checkpoints/llama3.1-8b-soft-panel-control-k50,0.36666666666666664
11,checkpoints/llama3.1-8b-soft-panel,0.22
11,checkpoints/llama3.1-8b-soft-panel-control-k100,0.3883333333333333
11,checkpoints/llama3.1-8b-soft-panel-control-k50,0.39166666666666666
12,checkpoints/llama3.1-8b-soft-panel,0.325
12,checkpoints/llama3.1-8b-soft-panel-control-k100,0.3
12,checkpoints/llama3.1-8b-soft-panel-control-k50,0.375
13,checkpoints/llama3.1-8b-soft-panel,0.34
13,checkpoints/llama3.1-8b-soft-panel-control-k100,0.37833333333333335
13,checkpoints/llama3.1-8b-soft-panel-control-k50,0.2816666666666667
14,checkpoints/llama3.1-8b-soft-panel,0.24166666666666667
14,checkpoints/llama3.1-8b-soft-panel-control-k100,0.35
14,checkpoints/llama3.1-8b-soft-panel-control-k50,0.4083333333333333
15,checkpoints/llama3.1-8b-soft-panel,0.2816666666666667
15,checkpoints/llama3.1-8b-soft-panel-control-k100,0.36666666666666664
15,checkpoints/llama3.1-8b-soft-panel-control-k50,0.3516666666666667
16,checkpoints/llama3.1-8b-soft-panel,0.27166666666666667
16,checkpoints/llama3.1-8b-soft-panel-control-k100,0.3516666666666667
