clause_id,model,win_share
1,checkpoints/llama3.1-8b-adversary-hard,0.17714285714285713
1,checkpoints/llama3.1-8b-adversary-soft,0.08619047619047619
1,checkpoints/llama3.1-8b-full-prism,0.09666666666666666
1,checkpoints/llama3.1-8b-hard-panel,0.14238095238095239
1,checkpoints/llama3.1-8b-soft-panel,0.10238095238095238
1,checkpoints/llama3.1-8b-us-rep,0.16047619047619047
1,meta-llama/Llama-3.1-8B,0.23476190476190475
2,checkpoints/llama3.1-8b-adversary-hard,0.1376190476190476
2,checkpoints/llama3.1-8b-adversary-soft,0.1326190476190476
2,checkpoints/llama3.1-8b-full-prism,0.14642857142857144
2,checkpoints/llama3.1-8b-hard-panel,0.15476190476190477
2,checkpoints/llama3.1-8b-soft-panel,0.1523809523809524
2,checkpoints/llama3.1-8b-us-rep,0.15
2,meta-llama/Llama-3.1-8B,0.1261904761904762
3,checkpoints/llama3.1-8b-adversary-hard,0.09285714285714286
3,checkpoints/llama3.1-8b-adversary-soft,0.20047619047619047
3,checkpoints/llama3.1-8b-full-prism,0.19071428571428573
3,checkpoints/llama3.1-8b-hard-panel,0.15761904761904763
3,checkpoints/llama3.1-8b-soft-panel,0.2092857142857143
3,checkpoints/llama3.1-8b-us-rep,0.08166666666666667
3,meta-llama/Llama-3.1-8B,0.06738095238095237
4,checkpoints/llama3.1-8b-adversary-hard,0.15571428571428572
4,checkpoints/llama3.1-8b-adversary-soft,0.14785714285714285
4,checkpoints/llama3.1-8b-full-prism,0.15023809523809523
4,checkpoints/llama3.1-8b-hard-panel,0.1388095238095238
4,checkpoints/llama3.1-8b-soft-panel,0.14666666666666667
4,checkpoints/llama3.1-8b-us-rep,0.13214285714285715
4,meta-llama/Llama-3.1-8B,0.12857142857142856
5,checkpoints/llama3.1-8b-adversary-hard,0.11904761904761904
5,checkpoints/llama3.1-8b-adversary-soft,0.18761904761904763
5,checkpoints/llama3.1-8b-full-prism,0.18642857142857142
5,checkpoints/llama3.1-8b-hard-panel,0.15404761904761904
5,checkpoints/llama3.1-8b-soft-panel,0.17642857142857143
5,checkpoints/llama3.1-8b-us-rep,0.12928571428571428
5,meta-llama/Llama-3.1-8B,0.047142857142857146
6,checkpoints/llama3.1-8b-adversary-hard,0.08666666666666667
6,checkpoints/llama3.1-8b-adversary-soft,0.18857142857142858
6,checkpoints/llama3.1-8b-full-prism,0.15261904761904763
6,checkpoints/llama3.1-8b-hard-panel,0.1676190476190476
6,checkpoints/llama3.1-8b-soft-panel,0.1488095238095238
6,checkpoints/llama3.1-8b-us-rep,0.15928571428571428
6,meta-llama/Llama-3.1-8B,0.09642857142857143
7,checkpoints/llama3.1-8b-adversary-hard,0.18119047619047618
